127.0.0.1 - - [02/Jun/2017:18:00:16 -0300] "GET / HTTP/1.1" 200 11418
192.168.0.149 - - [02/Jun/2017:18:00:22 -0300] "GET / HTTP/1.1" 200 11418
192.168.0.149 - - [02/Jun/2017:18:00:22 -0300] "GET /tomcat.png HTTP/1.1" 200 5103
192.168.0.149 - - [02/Jun/2017:18:00:22 -0300] "GET /tomcat.css HTTP/1.1" 200 5931
192.168.0.149 - - [02/Jun/2017:18:00:22 -0300] "GET /bg-nav.png HTTP/1.1" 200 1401
192.168.0.149 - - [02/Jun/2017:18:00:22 -0300] "GET /asf-logo-wide.svg HTTP/1.1" 200 26726
192.168.0.149 - - [02/Jun/2017:18:00:22 -0300] "GET /bg-button.png HTTP/1.1" 200 713
192.168.0.149 - - [02/Jun/2017:18:00:22 -0300] "GET /bg-upper.png HTTP/1.1" 200 3103
192.168.0.149 - - [02/Jun/2017:18:00:22 -0300] "GET /bg-middle.png HTTP/1.1" 200 1918
192.168.0.164 - - [02/Jun/2017:18:00:27 -0300] "GET /maissaude/ HTTP/1.1" 404 971
192.168.0.164 - - [02/Jun/2017:18:00:30 -0300] "GET / HTTP/1.1" 200 11418
192.168.0.164 - - [02/Jun/2017:18:00:30 -0300] "GET /tomcat.css HTTP/1.1" 200 5931
192.168.0.164 - - [02/Jun/2017:18:00:30 -0300] "GET /tomcat.png HTTP/1.1" 200 5103
192.168.0.164 - - [02/Jun/2017:18:00:30 -0300] "GET /bg-nav.png HTTP/1.1" 200 1401
192.168.0.164 - - [02/Jun/2017:18:00:30 -0300] "GET /bg-upper.png HTTP/1.1" 200 3103
192.168.0.164 - - [02/Jun/2017:18:00:30 -0300] "GET /asf-logo-wide.svg HTTP/1.1" 200 26726
192.168.0.164 - - [02/Jun/2017:18:00:30 -0300] "GET /bg-button.png HTTP/1.1" 200 713
192.168.0.164 - - [02/Jun/2017:18:00:30 -0300] "GET /bg-middle.png HTTP/1.1" 200 1918
